# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "6" "-p" "-t" "exon" "-g" "gene_id" "-s" "2" "-a" "/mnt/d/BioInf/Task_2/Reference_genome/Fusarium_graminearum_ph_1_gca_000240135.ASM24013v3.62.gtf" "-o" "/mnt/d/BioInf/Task_2/Quantification_results/SRR10408675/counts.txt" "/mnt/d/BioInf/Task_2/Alignment_results/SRR10408675/SRR10408675_aligned_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/mnt/d/BioInf/Task_2/Alignment_results/SRR10408675/SRR10408675_aligned_sorted.bam
gene:FGSG_10539	1;1;1;1;1	11161234;11161697;11162112;11162646;11163288	11161653;11162047;11162561;11163233;11163398	-;-;-;-;-	1920	0
gene:FGSG_10540	1;1;1;1;1;1;1;1	11164289;11164615;11164746;11165018;11165271;11165479;11165616;11165809	11164567;11164696;11164957;11165216;11165420;11165562;11165758;11166420	+;+;+;+;+;+;+;+	1761	0
gene:FGSG_13780	1;1;1;1	11166895;11167414;11167487;11167809	11167247;11167440;11167679;11167826	+;+;+;+	591	0
gene:FGSG_13781	1;1;1;1;1	11168058;11168192;11168507;11168650;11168813	11168150;11168417;11168543;11168761;11168845	-;-;-;-;-	501	4
gene:FGSG_10541	1;1	11170313;11170966	11170886;11171036	+;+	645	0
gene:FGSG_10542	1	11175226	11175594	+	369	76
gene:FGSG_13782	1;1	11176228;11176404	11176352;11176920	+;+	642	8
gene:FGSG_10543	1	11177145	11178179	-	1035	902
gene:FGSG_13783	1	11178871	11207936	+	29066	65
gene:FGSG_13784	1;1	11179114;11179421	11179332;11179528	-;-	327	0
gene:FGSG_10545	1;1	11207999;11208789	11208729;11208863	-;-	806	14
gene:FGSG_10546	1;1	11209523;11209709	11209652;11210991	+;+	1413	2
gene:FGSG_10547	1;1;1;1	11211135;11211539;11213437;11213652	11211488;11213315;11213599;11215766	-;-;-;-	4409	10
gene:FGSG_10548	1;1;1;1;1;1;1;1;1	11216941;11217263;11218159;11218325;11221324;11222580;11223819;11224169;11224752	11217190;11218092;11218269;11221258;11222525;11223764;11224129;11224639;11224849	+;+;+;+;+;+;+;+;+	7392	2
gene:FGSG_10549	1;1;1;1	11224894;11225332;11225473;11225610	11225276;11225420;11225554;11225750	-;-;-;-	695	119889
gene:FGSG_10550	1;1;1;1;1;1;1;1	11226300;11226521;11226582;11227050;11227767;11228289;11228788;11228880	11226328;11226528;11226613;11227387;11228206;11228322;11228799;11228973	+;+;+;+;+;+;+;+	987	762
gene:FGSG_10551	1	11229564	11230632	+	1069	38
gene:FGSG_10552	1;1;1	11230746;11230923;11231391	11230751;11230962;11232163	-;-;-	819	9
gene:FGSG_10553	1;1	11232458;11233835	11233750;11233867	+;+	1326	34
gene:FGSG_10554	1;1;1	11235949;11236248;11236431	11236176;11236368;11236681	-;-;-	600	706
gene:FGSG_10555	1;1	11237523;11238045	11237988;11238268	-;-	690	0
gene:FGSG_10556	1;1;1;1	11238835;11239096;11240332;11240876	11239017;11240270;11240816;11241135	-;-;-;-	2103	4
gene:FGSG_10557	1;1	11246084;11246516	11246426;11246529	+;+	357	0
gene:FGSG_10558	1;1	11247821;11248378	11248331;11249903	+;+	2037	5
gene:FGSG_10559	1;1;1	11250132;11250508;11251037	11250457;11250982;11251174	-;-;-	939	18
gene:FGSG_10560	1;1;1;1	11252572;11253505;11253688;11254144	11252707;11253631;11254059;11254264	+;+;+;+	756	2
gene:FGSG_10561	1;1;1;1	11254393;11255039;11255677;11255875	11254981;11255620;11255820;11259002	-;-;-;-	4443	342
gene:FGSG_10562	1	11259829	11260766	-	938	99
gene:FGSG_10563	1	11261677	11262777	+	1101	709
gene:FGSG_10564	1;1	11263926;11264113	11263933;11273065	-;-	8961	0
gene:FGSG_10565	1;1;1;1;1;1	11273936;11274248;11274681;11274839;11275673;11276109	11274195;11274551;11274735;11275616;11276053;11277114	+;+;+;+;+;+	2784	2
gene:FGSG_10566	1;1	11279413;11285337	11285212;11285434	+;+	5898	0
gene:FGSG_10567	1;1;1;1	11285792;11285977;11286136;11286307	11285921;11286085;11286251;11286425	-;-;-;-	474	17
gene:FGSG_10568	1;1;1	11289518;11289688;11290360	11289617;11290301;11290419	-;-;-	774	0
gene:FGSG_10569	1;1;1;1;1;1;1;1;1;1;1;1	11291298;11291667;11291742;11291985;11292474;11292758;11293142;11293308;11293650;11294429;11294900;11295278	11291606;11291690;11291934;11292416;11292721;11293085;11293253;11293595;11294365;11294665;11295176;11295431	+;+;+;+;+;+;+;+;+;+;+;+	3318	2
gene:FGSG_10570	1;1;1;1;1;1;1;1;1	11295675;11295858;11295979;11296155;11296926;11297015;11297143;11297318;11297473	11295805;11295924;11296108;11296878;11296965;11297097;11297271;11297427;11297549	-;-;-;-;-;-;-;-;-	1491	0
gene:FGSG_10571	1;1;1;1;1;1	11298113;11298235;11298842;11299164;11299497;11299780	11298184;11298788;11299112;11299446;11299731;11299936	+;+;+;+;+;+	1572	4
gene:FGSG_10572	1;1;1;1;1;1;1;1	11300172;11300986;11301250;11301493;11302072;11302216;11302383;11302612	11300927;11301087;11301435;11302018;11302153;11302330;11302556;11302752	-;-;-;-;-;-;-;-	2082	0
gene:FGSG_10573	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	11303938;11304170;11304279;11304735;11304910;11305112;11305275;11305457;11305743;11306089;11306257;11306697;11306801;11307197;11307377	11304110;11304217;11304671;11304828;11305050;11305224;11305390;11305687;11306001;11306206;11306648;11306751;11307144;11307320;11308123	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3348	0
gene:FGSG_13787	1	11308331	11309350	-	1020	12
gene:FGSG_13788	1	11309765	11310745	-	981	14
gene:FGSG_10575	1;1;1;1;1;1	11312346;11312645;11313096;11314020;11314562;11314856	11312426;11313040;11313905;11314421;11314745;11314884	+;+;+;+;+;+	1902	0
gene:FGSG_10576	1	11315970	11317181	-	1212	16
gene:FGSG_10577	1	11317894	11322212	+	4319	0
gene:FGSG_10578	1;1	11322909;11323897	11323773;11325095	+;+	2064	0
gene:FGSG_10579	1;1;1;1;1;1;1;1;1	11325217;11325284;11325515;11325629;11325930;11326562;11326721;11327398;11327501	11325249;11325445;11325577;11325813;11326444;11326646;11327132;11327468;11327531	-;-;-;-;-;-;-;-;-	1557	0
gene:FGSG_10580	1;1;1	11327711;11328419;11328793	11328295;11328621;11328916	+;+;+	912	0
gene:FGSG_10581	1;1;1;1	11329352;11331250;11331368;11331537	11331218;11331330;11331452;11331864	-;-;-;-	2361	0
gene:FGSG_13789	1;1;1	11332247;11332647;11333238	11332576;11333179;11334030	+;+;+	1656	0
gene:FGSG_13790	1;1	11334282;11334556	11334491;11335125	+;+	780	0
gene:FGSG_10582	1	11335558	11336433	+	876	0
gene:FGSG_10583	1;1	11337952;11338565	11338511;11338787	+;+	783	2
gene:FGSG_10584	1;1	11339232;11339507	11339456;11340205	+;+	924	493
gene:FGSG_10585	1	11341372	11341875	+	504	0
gene:FGSG_13791	1	11342301	11342594	-	294	0
gene:FGSG_13792	1	11343241	11343942	-	702	0
gene:FGSG_13793	1	11344099	11344824	-	726	0
gene:FGSG_10587	1;1;1;1;1;1;1;1;1;1;1;1	11345710;11345853;11346132;11346387;11346614;11347012;11347151;11347288;11347367;11347511;11347975;11348405	11345799;11346078;11346333;11346559;11346962;11347095;11347233;11347319;11347455;11347925;11348287;11348646	-;-;-;-;-;-;-;-;-;-;-;-	2298	4
gene:FGSG_10588	1;1	11350166;11351872	11351784;11352457	-;-	2205	0
gene:FGSG_10589	1;1;1	11352781;11352899;11353003	11352819;11352946;11353194	+;+;+	279	0
gene:FGSG_10591	1;1	11356942;11357329	11357275;11358620	-;-	1626	0
gene:FGSG_10592	1;1	11359482;11359818	11359764;11359915	-;-	381	25
gene:FGSG_10593	1	11360837	11361750	-	914	0
gene:FGSG_10594	1;1	11363052;11363173	11363127;11363648	+;+	552	0
gene:FGSG_10595	1;1	11363990;11364933	11364880;11365202	-;-	1161	6
gene:FGSG_10596	1	11367475	11369670	+	2196	46
gene:FGSG_10597	1	11369833	11370681	-	849	4
gene:FGSG_13794	1	11370981	11371337	-	357	2
gene:FGSG_10598	1	11371773	11372429	+	657	4476
gene:FGSG_10599	1	11373691	11375334	+	1644	26
gene:FGSG_10600	1	11376418	11377287	+	870	14
gene:FGSG_10601	1;1	11378410;11380060	11379999;11382225	+;+	3756	0
gene:FGSG_10602	1	11382752	11384461	+	1710	7
gene:FGSG_10603	1	11385219	11386033	+	815	0
gene:FGSG_13795	1	11386475	11387038	-	564	0
gene:FGSG_20065	1	11387729	11387844	-	116	3
gene:FGSG_10604	1;1;1	11388988;11389194;11389893	11389142;11389841;11390790	-;-;-	1701	0
gene:FGSG_10605	1;1;1	11391265;11391586;11391701	11391532;11391645;11392056	+;+;+	684	9
gene:FGSG_10606	1;1	11392906;11393809	11393755;11393954	-;-	996	67
gene:FGSG_10607	1;1	11395816;11396701	11396560;11396855	+;+	900	0
gene:FGSG_10608	1;1	11399015;11399389	11399336;11400359	-;-	1293	788
gene:FGSG_10609	1;1;1;1;1;1	11401032;11401477;11401745;11402226;11402339;11402741	11401426;11401682;11402172;11402287;11402676;11403012	-;-;-;-;-;-	1701	81
gene:FGSG_13796	1;1	11404223;11404361	11404256;11405661	-;-	1335	0
gene:FGSG_13797	1;1;1	11405993;11406285;11406802	11406231;11406748;11407421	-;-;-	1323	4
gene:FGSG_10611	1;1;1;1	11408328;11408601;11409056;11409232	11408500;11408997;11409146;11410037	+;+;+;+	1467	16
gene:FGSG_10612	1;1	11410754;11411082	11411028;11412156	+;+	1350	0
gene:FGSG_10613	1	11412688	11413701	+	1014	0
gene:FGSG_10614	1;1;1	11414656;11414775;11415254	11414711;11415198;11415481	+;+;+	708	4
gene:FGSG_10615	1;1;1;1;1;1	11417111;11417934;11418605;11419158;11419280;11419705	11417854;11418540;11418990;11419222;11419594;11419963	-;-;-;-;-;-	2376	0
gene:FGSG_10616	1;1	11420885;11423128	11423077;11425650	-;-	4716	0
gene:FGSG_10617	1;1;1	11426233;11428432;11428557	11428378;11428507;11429541	-;-;-	3207	94
gene:FGSG_10618	1;1;1;1	11431231;11431388;11431454;11431593	11431281;11431407;11431536;11431795	+;+;+;+	357	0
gene:FGSG_10619	1;1;1	11432140;11433794;11434401	11433700;11434341;11434454	-;-;-	2163	0
gene:FGSG_10620	1;1	11437385;11438007	11437933;11438778	+;+	1321	3
gene:FGSG_10621	1	11439448	11440645	+	1198	198
gene:FGSG_10622	1;1;1	11442091;11442205;11442369	11442152;11442251;11442610	-;-;-	351	0
gene:FGSG_10623	1;1	11443690;11444045	11443998;11444095	-;-	360	5
gene:FGSG_10624	1;1;1;1	11445150;11445425;11445842;11446219	11445362;11445775;11446143;11446261	+;+;+;+	909	65
gene:FGSG_10625	1;1;1;1	11446400;11446991;11447139;11447284	11446924;11447104;11447163;11447309	-;-;-;-	690	10
gene:FGSG_10626	1	11448402	11449343	+	942	294
gene:FGSG_10627	1;1;1;1;1;1;1;1;1;1;1;1;1;1	11450761;11450831;11450968;11451150;11451474;11452311;11452579;11453307;11453487;11453703;11454310;11455131;11455652;11456056	11450781;11450917;11450994;11451422;11452258;11452526;11453254;11453323;11453649;11453741;11454872;11455598;11455849;11456116	+;+;+;+;+;+;+;+;+;+;+;+;+;+	3594	4
gene:FGSG_10628	1;1;1	11457226;11457475;11458608	11457387;11458469;11459136	-;-;-	1686	0
gene:FGSG_13798	1	11460700	11462904	+	2205	2
gene:FGSG_10629	1;1;1	11463983;11464502;11465099	11464447;11465041;11465812	+;+;+	1719	4
gene:FGSG_10630	1;1;1;1;1;1;1	11466253;11466402;11466841;11466973;11467074;11467322;11467510	11466352;11466787;11466920;11467009;11467075;11467457;11467611	-;-;-;-;-;-;-	843	2
gene:FGSG_10631	1;1;1;1;1	11469322;11469919;11470076;11470434;11470536	11469870;11470027;11470380;11470487;11471030	+;+;+;+;+	1512	4
gene:FGSG_10632	1;1;1;1;1	11472590;11473149;11474718;11476359;11476445	11473081;11474669;11476305;11476383;11477453	-;-;-;-;-	4635	54
gene:FGSG_10633	1;1	11480572;11481912	11481870;11481917	+;+	1305	0
gene:FGSG_10634	1;1;1	11484894;11485256;11485528	11485194;11485464;11485710	-;-;-	693	0
gene:FGSG_10635	1;1;1;1	11486309;11486445;11486873;11487008	11486353;11486467;11486948;11487187	-;-;-;-	324	0
gene:FGSG_10636	1;1;1;1	11489041;11489183;11489329;11489546	11489131;11489275;11489491;11489630	+;+;+;+	432	0
gene:FGSG_13799	1	11489860	11491236	-	1377	187
gene:FGSG_13800	1;1;1	11491418;11492034;11492392	11491975;11492329;11492497	-;-;-	960	10
gene:FGSG_10638	1;1	11492907;11493271	11493209;11494011	+;+	1044	100
gene:FGSG_10639	1;1;1;1;1;1;1;1	11494615;11494820;11494949;11495770;11495864;11496121;11496479;11496712	11494759;11494886;11495714;11495803;11495975;11496425;11496656;11497159	+;+;+;+;+;+;+;+	2055	56
gene:FGSG_10641	1;1;1;1;1;1;1;1	11498165;11498399;11498502;11498719;11498890;11499103;11499587;11499933	11498259;11498423;11498567;11498746;11498901;11499275;11499876;11500140	+;+;+;+;+;+;+;+	897	0
gene:FGSG_10642	1;1;1	11500519;11500805;11500910	11500754;11500854;11501139	-;-;-	516	30
gene:FGSG_10643	1;1;1;1	11501731;11502549;11502655;11502923	11502490;11502597;11502844;11503201	+;+;+;+	1278	2
gene:FGSG_10644	1;1;1	11504160;11504408;11504546	11504346;11504491;11504772	+;+;+	498	0
gene:FGSG_13801	1;1;1;1	11505594;11505637;11506125;11507285	11505632;11506080;11507273;11507356	-;-;-;-	1704	32
gene:FGSG_13802	1;1;1;1	11508279;11508368;11508469;11508611	11508303;11508419;11508562;11510101	-;-;-;-	1662	0
gene:FGSG_10646	1;1;1	11511288;11511900;11512360	11511848;11512259;11512881	-;-;-	1443	1
gene:FGSG_10647	1	11513425	11514165	-	741	66
gene:FGSG_10648	1;1	11514512;11514847	11514804;11517736	-;-	3183	0
gene:FGSG_10649	1;1	11518686;11518961	11518833;11519484	+;+	672	0
gene:FGSG_13803	1;1	11520409;11520780	11520670;11520898	+;+	381	1
gene:FGSG_10651	1;1	11523263;11524605	11524546;11524742	+;+	1422	0
gene:FGSG_10652	1;1;1;1	11525112;11525215;11525389;11526086	11525128;11525331;11525509;11526412	-;-;-;-	582	0
gene:FGSG_10653	1;1;1;1;1;1	11527001;11527193;11527477;11527779;11527981;11528188	11527115;11527341;11527688;11527924;11528128;11528215	-;-;-;-;-;-	798	14
gene:FGSG_13804	1;1	11528569;11528654	11528596;11528757	+;+	132	6
gene:FGSG_10654	1;1	11528928;11529787	11529734;11531079	+;+	2100	122
gene:FGSG_10655	1	11531417	11533357	-	1941	512
gene:FGSG_10656	1;1;1	11535506;11536847;11537335	11536792;11537213;11537342	+;+;+	1662	2
gene:FGSG_10657	1;1	11537476;11538161	11538077;11538191	-;-	633	20
gene:FGSG_10658	1;1;1;1;1	11539054;11539515;11541177;11541283;11541924	11539462;11541136;11541229;11541356;11541991	+;+;+;+;+	2226	65
gene:FGSG_10659	1	11542490	11543605	-	1116	56
gene:FGSG_10660	1	11544492	11545955	+	1464	285
gene:FGSG_10661	1;1	11546028;11546979	11546925;11547757	-;-	1677	18
gene:FGSG_13805	1	11548471	11550285	+	1815	23
gene:FGSG_13806	1;1	11550539;11551072	11551019;11551523	+;+	933	0
gene:FGSG_10663	1;1	11552291;11552647	11552596;11552754	+;+	414	0
gene:FGSG_10664	1	11553163	11554506	+	1344	0
gene:FGSG_10665	1	11555672	11557006	-	1335	30
gene:FGSG_10666	1	11557304	11558044	-	741	2
gene:FGSG_10667	1;1;1;1;1	11558614;11559441;11559995;11560303;11560987	11558814;11559847;11560191;11560932;11561111	+;+;+;+;+	1560	0
gene:FGSG_10668	1;1;1;1	11561370;11562681;11562901;11563087	11562633;11562847;11562972;11563263	-;-;-;-	1680	33
gene:FGSG_10669	1;1;1	11563962;11564912;11565652	11564854;11565599;11565858	+;+;+	1788	3320
gene:FGSG_10670	1;1;1	11566888;11567287;11567524	11567232;11567466;11567691	+;+;+	693	138
gene:FGSG_10671	1	11567848	11568933	-	1086	28
gene:FGSG_10672	1;1;1	11569472;11570096;11570305	11570040;11570255;11570328	+;+;+	753	0
gene:FGSG_10673	1;1	11571017;11572427	11572372;11572570	+;+	1500	4
gene:FGSG_10674	1;1;1	11572847;11573040;11573430	11572863;11573095;11574892	+;+;+	1536	16
gene:FGSG_10675	1;1;1	11575232;11575510;11576035	11575449;11575981;11576562	+;+;+	1218	2
gene:FGSG_10676	1;1;1	11576881;11578146;11579908	11578073;11579857;11580053	-;-;-	3051	0
gene:FGSG_10677	1;1;1;1;1;1;1;1	11580874;11581252;11581516;11581739;11582428;11582902;11583336;11583733	11581207;11581462;11581691;11582375;11582845;11583229;11583609;11583757	-;-;-;-;-;-;-;-	2403	4407
gene:FGSG_10678	1;1	11585074;11587453	11586957;11587509	-;-	1941	41
gene:FGSG_10679	1;1;1	11588120;11590040;11590249	11589985;11590056;11590288	+;+;+	1923	64
gene:FGSG_10680	1	11590325	11591365	-	1041	0
gene:FGSG_13807	1;1;1;1;1	11591916;11592123;11592355;11592524;11592751	11592069;11592235;11592469;11592694;11593616	+;+;+;+;+	1419	0
gene:FGSG_13808	1;1	11594433;11595007	11594868;11595257	+;+	687	0
gene:FGSG_10682	1;1;1;1	11595636;11596099;11596244;11596672	11595985;11596179;11596615;11596732	-;-;-;-	864	0
gene:FGSG_10683	1	11598015	11600465	+	2451	0
gene:FGSG_10684	1;1;1;1	11600534;11601247;11602314;11602495	11601162;11602225;11602465;11602543	-;-;-;-	1809	14
gene:FGSG_10685	1;1	11602858;11603054	11603000;11604470	+;+	1560	0
gene:FGSG_10686	1;1	11605342;11608019	11607921;11608027	+;+	2589	0
gene:FGSG_10687	1	11608234	11609451	-	1218	0
gene:FGSG_10688	1;1	11609994;11610300	11610044;11611133	+;+	885	0
gene:FGSG_10689	1;1;1;1;1;1;1	11611374;11611689;11612047;11612289;11612926;11613184;11613310	11611388;11611742;11612053;11612403;11613060;11613265;11613366	+;+;+;+;+;+;+	465	0
gene:FGSG_10690	1	11615107	11615883	-	777	0
gene:FGSG_10691	1;1	11617220;11617766	11617487;11618178	+;+	681	0
gene:FGSG_10692	1;1	11619839;11620253	11620202;11620365	+;+	477	0
gene:FGSG_10693	1;1;1;1	11620794;11621027;11621509;11621710	11620845;11621452;11621658;11622842	+;+;+;+	1761	2
gene:FGSG_10694	1;1;1;1;1;1	11623166;11623322;11623803;11624050;11624504;11624641	11623174;11623651;11623998;11624451;11624574;11624706	-;-;-;-;-;-	1074	0
gene:FGSG_10695	1;1;1;1;1;1	11625529;11625622;11625767;11625891;11626291;11627166	11625564;11625711;11625836;11626163;11627108;11627201	+;+;+;+;+;+	1323	22
gene:FGSG_10696	1;1;1	11628243;11628583;11629353	11628520;11629252;11629511	+;+;+	1107	273
gene:FGSG_10697	1;1;1	11631058;11631250;11631585	11631200;11631386;11631748	-;-;-	444	0
gene:FGSG_10698	1;1;1;1;1	11632837;11632883;11633079;11633148;11633523	11632847;11632897;11633085;11633427;11633542	-;-;-;-;-	333	0
gene:FGSG_13809	1;1;1;1;1;1;1;1	11635694;11635769;11635929;11636047;11636151;11636480;11636676;11636855	11635700;11635794;11635985;11636101;11636415;11636618;11636793;11636898	-;-;-;-;-;-;-;-	711	4
gene:FGSG_13810	1;1	11637374;11637528	11637469;11637743	-;-	312	0
gene:FGSG_10700	1;1;1	11640098;11640205;11640370	11640141;11640322;11640789	+;+;+	582	0
gene:FGSG_10701	1;1;1;1	11644484;11645051;11645464;11645594	11644981;11645393;11645477;11645596	+;+;+;+	858	0
gene:FGSG_10702	1;1	11645662;11647195	11647137;11647698	-;-	1980	0
gene:FGSG_13812	1;1;1;1	11648541;11649386;11649570;11650080	11649261;11649496;11650020;11650201	+;+;+;+	1405	0
gene:FGSG_13813	1	11651026	11651430	+	405	0
gene:FGSG_13814	1;1;1	11652459;11653036;11654452	11652589;11654263;11654466	+;+;+	1374	0
gene:FGSG_10706	1;1;1;1;1;1;1;1;1;1	11655934;11656121;11656447;11656566;11657397;11657562;11657990;11658645;11658910;11660278	11656071;11656395;11656511;11657344;11657510;11657923;11658590;11658854;11660230;11660717	-;-;-;-;-;-;-;-;-;-	4305	36
gene:FGSG_10707	1;1	11661730;11662192	11662136;11662930	+;+	1146	66
gene:FGSG_13815	1;1;1	11663031;11663511;11664177	11663486;11664159;11664361	+;+;+	1290	3
gene:FGSG_10708	1;1;1;1;1;1	11665965;11666550;11666686;11666929;11667294;11667446	11666492;11666630;11666845;11667242;11667395;11667592	+;+;+;+;+;+	1332	0
gene:FGSG_13816	1;1;1	11668171;11668465;11668563	11668409;11668524;11668746	-;-;-	483	4
gene:FGSG_10709	1;1;1	11668893;11669347;11669505	11669272;11669369;11669899	-;-;-	798	0
gene:FGSG_10710	1;1;1;1	11670753;11671370;11671836;11672304	11671251;11671749;11672220;11672407	+;+;+;+	1368	0
gene:FGSG_10711	1;1	11672906;11673315	11673262;11673422	-;-	465	4
gene:FGSG_10712	1;1	11674051;11674397	11674347;11675287	+;+	1188	0
gene:FGSG_10713	1;1	11675331;11676847	11676719;11677131	-;-	1674	2
gene:FGSG_13817	1;1;1	11677713;11678094;11678259	11677967;11678217;11678293	-;-;-	414	0
gene:FGSG_13818	1;1	11679588;11680013	11679656;11680171	-;-	228	0
gene:FGSG_13819	1;1;1	11683035;11683410;11683716	11683358;11683483;11683731	-;-;-	414	0
gene:FGSG_10714	1;1;1	11685098;11685523;11685700	11685436;11685666;11685840	+;+;+	624	0
gene:FGSG_10715	1;1;1	11686105;11686493;11686832	11686440;11686770;11686880	-;-;-	663	0
gene:FGSG_13820	1	11689876	11690298	+	423	0
gene:FGSG_13821	1;1;1;1;1	11690621;11690726;11690867;11691080;11691426	11690666;11690804;11691025;11691377;11692202	+;+;+;+;+	1359	46
gene:FGSG_13822	1;1	11692943;11694257	11694059;11695173	+;+	2034	0
gene:FGSG_14031	2;2;2;2;2;2	910;1568;2951;3442;4696;4896	1341;2872;3315;4581;4785;5313	-;-;-;-;-;-	3750	3990
gene:FGSG_13260	2	13005	13466	+	462	4
gene:FGSG_11592	2;2;2;2;2;2	14183;14581;14649;14748;15012;15626	14256;14609;14665;14847;15312;15632	-;-;-;-;-;-	528	1
gene:FGSG_20044	2	14459	14574	-	116	0
gene:FGSG_13261	2	16184	16492	-	309	0
gene:FGSG_11590	2;2;2;2	17669;17912;18693;18935	17859;18614;18889;19187	-;-;-;-	1344	205
gene:FGSG_11610	2;2	20512;21422	21364;22861	-;-	2293	1571
gene:FGSG_11609	2;2;2;2	24878;25064;25244;25520	24919;25136;25277;27836	-;-;-;-	2466	151
gene:FGSG_11616	2	28537	29637	-	1101	912
gene:FGSG_11615	2;2;2;2	33789;34035;34265;35023	33962;34184;34393;35106	-;-;-;-	537	313
gene:FGSG_08950	2	37276	38076	+	801	2014
gene:FGSG_08949	2;2	37476;39010	38832;39528	-;-	1876	8287
gene:FGSG_08948	2;2;2	40269;40526;42737	40466;42653;42765	-;-;-	2355	1883
gene:FGSG_08947	2;2	44249;44471	44360;44907	+;+	549	392
gene:FGSG_08946	2	45611	46594	+	984	461
gene:FGSG_08945	2	46741	50100	-	3360	412
gene:FGSG_20692	2	51080	51153	+	74	13
gene:FGSG_08944	2;2	51368;51892	51818;52322	+;+	882	5537
gene:FGSG_08943	2;2;2	52827;53409;53692	53348;53621;53932	-;-;-	976	889
gene:FGSG_08942	2;2;2	54529;54928;55350	54871;55298;56220	+;+;+	1585	638
gene:FGSG_08941	2;2;2;2;2	56685;56937;57239;57455;57783	56868;57187;57400;57720;57840	-;-;-;-;-	921	564
gene:FGSG_08940	2;2;2	58884;59197;59963	59092;59893;60614	-;-;-	1558	1812
gene:FGSG_08939	2;2	64451;65232	65127;65307	+;+	753	702
gene:FGSG_13262	2	71813	72355	-	543	64
gene:FGSG_13263	2;2;2	72793;72935;73335	72870;73276;73913	-;-;-	999	2
gene:FGSG_08937	2;2	74671;74763	74687;76293	+;+	1548	334
gene:FGSG_08936	2;2	79443;79602	79450;81621	+;+	2028	1610
gene:FGSG_08935	2;2;2;2;2	82446;83398;84917;85256;85635	83343;84864;85200;85545;85933	-;-;-;-;-	3238	10075
gene:FGSG_08934	2;2;2	87042;88379;89165	88327;88978;89172	-;-;-	1894	528
gene:FGSG_08933	2;2	90109;91441	91390;91751	+;+	1593	1141
gene:FGSG_08932	2;2	92955;93124	93023;93528	+;+	474	1865
gene:FGSG_08931	2;2;2	94517;94786;95620	94729;95530;95819	-;-;-	1158	890
gene:FGSG_08930	2;2;2	96590;98052;98481	97989;98165;98580	-;-;-	1614	719
gene:FGSG_08929	2;2;2	100251;100840;101003	100777;100911;101440	+;+;+	1037	2334
gene:FGSG_08928	2	101607	103462	-	1856	2695
gene:FGSG_13264	2;2;2	104077;104161;104395	104083;104286;104450	-;-;-	189	233
gene:FGSG_08927	2;2	105376;105564	105510;107006	+;+	1578	1376
gene:FGSG_08926	2;2;2;2;2	108423;108587;108741;108847;109278	108498;108669;108773;109221;110558	+;+;+;+;+	1848	2173
gene:FGSG_08925	2;2;2	114334;114593;114902	114531;114846;116105	+;+;+	1656	44
gene:FGSG_13265	2	118332	118703	+	372	20
gene:FGSG_08924	2;2	125678;126528	126460;127139	-;-	1395	1446
gene:FGSG_13266	2;2;2;2	130164;130405;130866;130953	130210;130558;130894;131073	-;-;-;-	351	46
gene:FGSG_13267	2;2;2	136086;136444;136576	136390;136495;136587	+;+;+	369	2
gene:FGSG_13268	2	138424	138759	+	336	2
gene:FGSG_08923	2;2;2;2	140411;140607;140818;140993	140448;140751;140904;141493	+;+;+;+	771	866
gene:FGSG_08922	2;2;2;2	142694;142943;143243;143703	142888;143161;143509;143945	-;-;-;-	924	4193
gene:FGSG_08921	2;2	145262;145445	145390;145618	+;+	303	243
gene:FGSG_08920	2;2	145991;147732	147678;147747	-;-	1704	5724
gene:FGSG_08919	2;2;2;2;2	148312;148381;148764;148946;149040	148314;148707;148889;148990;149048	+;+;+;+;+	510	6196
gene:FGSG_08918	2;2;2	151147;151443;152179	151347;152129;153222	+;+;+	1932	8
gene:FGSG_08917	2;2	154520;155088	155037;155916	+;+	1347	1471
gene:FGSG_13269	2;2;2;2	156359;156373;156596;156925	156363;156512;156729;157041	-;-;-;-	396	2
gene:FGSG_08916	2;2;2	159038;160432;160800	160187;160616;161821	+;+;+	2357	1543
gene:FGSG_08915	2;2;2	168214;168678;169343	168619;169109;169845	+;+;+	1341	1085
gene:FGSG_20045	2	170224	170339	-	116	6
gene:FGSG_08914	2;2	171311;172263	171537;174090	+;+	2055	112
gene:FGSG_13270	2;2	175707;176447	176059;176717	-;-	624	40
gene:FGSG_08913	2;2;2	178002;178227;178348	178160;178289;179067	+;+;+	942	893
gene:FGSG_08912	2;2;2	181314;181522;181595	181445;181548;182002	-;-;-	567	2
gene:FGSG_08911	2	183594	184400	-	807	105
gene:FGSG_08910	2;2;2;2;2;2;2;2	188498;188632;188794;189332;189575;191489;191721;191893	188557;188710;189269;189516;191436;191664;191844;192101	+;+;+;+;+;+;+;+	3171	4145
gene:FGSG_11630	2;2;2;2;2;2	194079;194327;194697;195217;195925;196380	194242;194642;195170;195866;196181;196408	-;-;-;-;-;-	1890	38
gene:FGSG_11629	2;2;2;2	197054;197918;198289;198727	197871;198223;198432;198751	-;-;-;-	1293	889
gene:FGSG_08909	2;2	199828;200690	200639;201590	+;+	1713	18
gene:FGSG_08908	2;2	202137;202875	202821;203278	+;+	1089	6
gene:FGSG_08907	2;2;2	203407;203691;203929	203635;203878;204387	-;-;-	876	453
